"EDS CHARGERS — роздрібні ціни № 1. Односторонні станції (S та QS)","Модель (SKU) ","Серія ","кВт ","Конфігурація ","Артикул для завантаження в CRM ","Ціна з ПДВ, € ","","","","","","","","","","","","","","","","","","",""
"39","EDS CHARGERS Q440 UA (CCS2+GB/T+CCS2+GB/T)","Q","440","4DC","EDS-Q440-4DC","79 300","","","","","","","","","","","","","","","","","","",""
"40","EDS CHARGERS Q480 UA (CCS2+GB/T+CCS2+GB/T)","Q","480","4DC","EDS-Q480-4DC","80 800","","","","","","","","","","","","","","","","","","",""
"41","EDS CHARGERS SPLIT360 UA POWER UNIT на 12 кабелів (6 диспенсерів) до 500А","SPLIT","360","до 500А","EDS-SPLIT360-до 500А","60 000","","","","","","","","","","","","","","","","","","",""
"42","EDS CHARGERS SPLIT480 UA POWER UNIT на 12 кабелів (6 диспенсерів) до 500А","SPLIT","480","до 500А","EDS-SPLIT480-до 500А","71 800","","","","","","","","","","","","","","","","","","",""
"43","EDS CHARGERS SPLIT720 UA POWER UNIT на 12 кабелів (6 диспенсерів) до 500А","SPLIT","720","до 500А","EDS-SPLIT720-до 500А","102 000","","","","","","","","","","","","","","","","","","",""
"44","EDS CHARGERS SPLIT960 UA POWER UNIT на 12 кабелів (6 диспенсерів) до 500А","SPLIT","960","до 500А","EDS-SPLIT960-до 500А","112 800","","","","","","","","","","","","","","","","","","",""
"45","EDS CHARGERS SPLIT1080 UA POWER UNIT на 12 кабелів (6 диспенсерів) до 500А","SPLIT","1080","до 500А","EDS-SPLIT1080-до 500А","133 400","","","","","","","","","","","","","","","","","","",""
"46","EDS CHARGERS SPLIT1440 UA POWER UNIT на 12 кабелів (6 диспенсерів) до 500А","SPLIT","1440","до 500А","EDS-SPLIT1440-до 500А","147 500","","","","","","","","","","","","","","","","","","",""
"47","EDS CHARGERS SPLIT UA DISPENSER STANDART (до 500А - peak) на 2 DC","DISPENSER","","2 DC (повітр.)","EDS-DISPENSER-2 DC (повітр.)","18 000","","","","","","","","","","","","","","","","","","",""
"48","EDS CHARGERS SPLIT360 UA POWER UNIT на 12 кабелів (6 диспенсерів) 600А (буст до 700А)","SPLIT","360","600А (буст до 700А)","EDS-SPLIT360-600А (буст до 700А)","62 800","","","","","","","","","","","","","","","","","","",""
"49","EDS CHARGERS SPLIT480 UA POWER UNIT на 12 кабелів (6 диспенсерів) 600А (буст до 700А)","SPLIT","480","600А (буст до 700А)","EDS-SPLIT480-600А (буст до 700А)","73 800","","","","","","","","","","","","","","","","","","",""
"50","EDS CHARGERS SPLIT720 UA POWER UNIT на 12 кабелів (6 диспенсерів) 600А (буст до 700А)","SPLIT","720","600А (буст до 700А)","EDS-SPLIT720-600А (буст до 700А)","102 800","","","","","","","","","","","","","","","","","","",""
"51","EDS CHARGERS SPLIT960 UA POWER UNIT на 12 кабелів (6 диспенсерів) 600А (буст до 700А)","SPLIT","960","600А (буст до 700А)","EDS-SPLIT960-600А (буст до 700А)","114 000","","","","","","","","","","","","","","","","","","",""
"52","EDS CHARGERS SPLIT1080 UA POWER UNIT на 12 кабелів (6 диспенсерів) 600А (буст до 700А)","SPLIT","1080","600А (буст до 700А)","EDS-SPLIT1080-600А (буст до 700А)","135 000","","","","","","","","","","","","","","","","","","",""
"53","EDS CHARGERS SPLIT1440 UA POWER UNIT на 12 кабелів (6 диспенсерів) 600А (буст до 700А)","SPLIT","1440","600А (буст до 700А)","EDS-SPLIT1440-600А (буст до 700А)","150 000","","","","","","","","","","","","","","","","","","",""
"54","EDS CHARGERS SPLIT UA DISPENSER PRO (600А - regular, 700A - peak) на 2 DC","DISPENSER","","2 DC (рідин.)","EDS-DISPENSER-2 DC (рідин.)","26 000","","","","","","","","","","","","","","","","","","",""
