Код_товару,Назва_позиції,Назва_позиції_укр,Пошукові_запити,Пошукові_запити_укр,Опис,Опис_укр,Тип_товару,Ціна,Валюта,Одиниця_виміру,Мінімальний_обсяг_замовлення,Оптова_ціна,Мінімальне_замовлення_опт,Посилання_зображення,Наявність,Номер_групи,Назва_групи,Посилання_підрозділу,Можливість_поставки,Термін_поставки,Спосіб_пакування,Спосіб_пакування_укр,Унікальний_ідентифікатор,Ідентифікатор_товару,Ідентифікатор_підрозділу,Ідентифікатор_групи,Виробник,Країна_виробник,Знижка,ID_групи_різновидів,Особисті_нотатки,Продукт_на_сайті,Термін_дії_знижки_від,Термін_дії_знижки_до,Ціна_від,Ярлик,HTML_заголовок,HTML_заголовок_укр,HTML_опис,HTML_опис_укр,Код_маркування_(GTIN),Номер_пристрою_(MPN),"Вага,кг","Ширина,см","Висота,см","Довжина,см",Де_знаходиться_товар,Товар_в_ProSale,Чому_товар_не_в_ProSale,Назва_Характеристики,Одиниця_виміру_Характеристики,Значення_Характеристики,Назва_Характеристики,Одиниця_виміру_Характеристики,Значення_Характеристики,Назва_Характеристики,Одиниця_виміру_Характеристики,Значення_Характеристики,Назва_Характеристики,Одиниця_виміру_Характеристики,Значення_Характеристики,Назва_Характеристики,Одиниця_виміру_Характеристики,Значення_Характеристики,Назва_Характеристики,Одиниця_виміру_Характеристики,Значення_Характеристики,Назва_Характеристики,Одиниця_виміру_Характеристики,Значення_Характеристики,Назва_Характеристики,Одиниця_виміру_Характеристики,Значення_Характеристики,Назва_Характеристики,Одиниця_виміру_Характеристики,Значення_Характеристики,Назва_Характеристики,Одиниця_виміру_Характеристики,Значення_Характеристики,Назва_Характеристики,Одиниця_виміру_Характеристики,Значення_Характеристики,Назва_Характеристики,Одиниця_виміру_Характеристики,Значення_Характеристики,Назва_Характеристики,Одиниця_виміру_Характеристики,Значення_Характеристики,Назва_Характеристики,Одиниця_виміру_Характеристики,Значення_Характеристики,Назва_Характеристики,Одиниця_виміру_Характеристики,Значення_Характеристики,Назва_Характеристики,Одиниця_виміру_Характеристики,Значення_Характеристики,Назва_Характеристики,Одиниця_виміру_Характеристики,Значення_Характеристики
,"Европейское зарядное устройство SPARKS (СПАРКС), зарядка для Nissan Leaf, Ниссан Лиф, Volt, BMW i3, j1772","Європейський зарядний пристрій SPARKS (СПАРКС), заряджання для Nissan Leaf, Ніссан Ліф, Volt, BMW i3, j1772","j1772, Nissan Leaf, ford focus, KIA SOUL, Зарядные устройства, Зарядная Станция, Тип 1, Type 1","j1772, Nissan Leaf, ford focus, KIA SOUL, Зарядні пристрої, Зарядна Станція, Тип 1, Type 1","<p>!!! Это не Китай, это сборка и внутрянка Европа. Просто возьмите такую же китайскую копию, которой и вводят в заблуждение клиентов, и приезжайте к нам в гости, поймете что такое европейский кабель, европейская фурнитура, розетки, внутренний контроллер и т.д. + Официальная гарантия с сервисным центром в Украине.</p>
<p>Зарядное устройство второго поколения SPARKS на 16 Ампер (3.68 кВт) для всех основных типов электромобилей с разъемом Тип 1 / J1772:<br/>
* Nissan Leaf (24, 30, 40, 60&nbsp;кВт) / Ниссан Лиф<br/>
* Ford Focus Electric / Форд Фокус<br/>
* Ford Fusion Energi<br/>
* BMW i-series та гибриды&nbsp;USA<br/>
* Toyota Prius / Приус</p>
<p>* Toyota RAV4 EV / Тойота РАВ4<br/>
* Kia Soul EV / КИА СОУЛ<br/>
* Сhevrolet Volt / Шевроле Вольт<br/>
* Сhevrolet Bolt / Шевроле Болт</p>
<p>* Сhevrolet Spark / Шевроле Спарк<br/>
* Fiat 500e / Фиат<br/>
* Smart Electric / Смарт</p>
<p>* Mercedes B-electric / Мерседес Б-электрик<br/>
* Tesla 3, S, X, Y (через переходник, который есть в наличии, смотрите другие наши объявления) / Тесла<br/>
и другие.<br/>
<br/>
Сделано в Европе&nbsp;<a href=""https://www.sparkschargers.pl"" target=""_blank"">www.sparkschargers.pl</a> - заводская сборка, в разы качественнее местных разработок.&nbsp;Улучшена защита от воды, теперь электроника защищена по классу IP65 - можно использовать под дождем, ронять в лужу.<br/>
<br/>
Зарядка подходит как для европейских, так и для американских, японских и китайских авто с разъемом Тип 1 / Type 1.<br/>
<br/>
Зарядка без проблем работает в Европе - важно для тех, кто путешествует или сам везет авто из Европы.<br/>
<br/>
Ток переключается 8-12-16 Ампер кнопкой разблокировки разъема (никаких странных/лишних кнопок и выступов на корпусе нет, торчащих светодиодов и незаводских отверстий нет), наличие защит, ВЛАГОЗАЩИЩЕННЫЙ!!! класс защиты IP65, резиновый польский RR-F кабель 6&nbsp;метров, возможность отключения проверки заземления/фазировки, RGB светодиодная индикация, фурнитура&nbsp;SCAME (Испания).<br/>
<br/>
В связи с частым воровством зарядок, они не очень популярны у воров, тк &quot;пистолет&quot; зафиксирован в авто и нет дорогостоящего блока, который часто срезают.<br/>
<br/>
Зарядка тестирует автомобиль и сигнализирует на наличие таймеров заряда в авто, показывает возможные ошибки в авто (стрельнули подушки, заряжали плохой зарядкой).<br/>
<br/>
Другая длина кабеля под заказ, срок такого заводского исполнения и доставка до 10 рабочих дней.<br/>
<br/>
Фирменная упаковка, инструкция на польском и украинском языке. Гарантия 1 год. Сервисная и клиентская поддержка.&nbsp;Сервісний партнер <a href=""https://evservice.com.ua"" target=""_blank"">evservice.com.ua</a><br/>
<br/>
Подменный фонд. Возможна оптовая продажа.<br/>
<br/>
Продукт на рынке Украины более пяти лет.<br/>
<br/>
Работаем 7 дней в неделю.&nbsp;Приезжайте на бесплатный тест к нам в офис!</p>","<p>!!! Це не Китай, це збирання та нутрощі Європа. Просто візьміть таку ж китайську копію, якою і вводять в оману клієнтів, і приїжджайте до нас у гості, зрозумієте, що таке європейський кабель, європейська фурнітура, розетки, внутрішній контролер і т.д. + Офіційна гарантія із сервісним центром в Україні.</p>
<p>Зарядний пристрій другого покоління SPARKS на 16 Ампер (3.68 кВт) для всіх основних типів електромобілів з роз&#39;ємом Тип 1/J1772:<br/>
* Nissan Leaf (24, 30, 40, 60&nbsp;кВт) / Нісан Ліф<br/>
* Ford Focus Electric / Форд Фокус<br/>
* Ford Fusion Energi<br/>
* BMW i-series та гибриди USA<br/>
* Toyota Prius / Пріус</p>
<p>* Toyota RAV4 EV / Тойота РАВ4<br/>
* Kia Soul EV / КІА СОУЛ<br/>
* Сhevrolet Volt / Шевроле Вольт<br/>
* Сhevrolet Bolt / Шевроле Болт</p>
<p>* Сhevrolet Spark / Шевроле Спарк<br/>
* Fiat 500e / Фіат<br/>
* Smart Electric / Смарт</p>
<p>* Mercedes B-electric / Мерседес Б-електрик<br/>
* Tesla 3, S, X, Y (через перехідник, який є в наявності, дивіться інші наші оголошення) / Тесла<br/>
та інші.</p>
<p>Зроблено в Європі www.sparkschargers.pl - заводське складання, в рази якісніше місцевих розробок. Покращено захист від води, тепер електроніка захищена за класом IP65 - можна використовувати під дощем, кидати в калюжу.</p>
<p>Зарядка підходить як для європейських, так і для американських, японських та китайських авто з роз&#39;ємом Тип 1/Type 1.</p>
<p>Зарядка без проблем працює в Європі &ndash; важливо для тих, хто подорожує чи сам везе авто із Європи.</p>
<p>Струм перемикається 8-12-16 Ампер кнопкою розблокування роз&#39;єму (ніяких дивних/зайвих кнопок і виступів на корпусі немає, світлодіодів, що стирчать, і незаводських отворів немає), наявність захистів, ВОЛОГОЗАХИЩЕНИЙ!!! клас захисту IP65, гумовий польський RR-F кабель 6&nbsp;метрів, можливість відключення перевірки заземлення/фазування, RGB світлодіодна індикація, фурнітура SCAME (Іспанія).</p>
<p>У зв&#39;язку з частим крадіжкою зарядок, вони не дуже популярні у злодіїв, тк &quot;пістолет&quot; зафіксований в авто і немає дорогого блоку, який часто зрізують.</p>
<p>Зарядка тестує автомобіль та сигналізує на наявність таймерів заряду в авто, показує можливі помилки в авто (стрільнули подушки, заряджали поганою зарядкою).</p>
<p>Інша довжина кабелю на замовлення, термін такого заводського виконання та доставка до 10 робочих днів.</p>
<p>Фірмова упаковка, інструкція польською та українською мовами. Гарантія 1 рік. Сервісна та клієнтська підтримка.&nbsp;Сервісний партнер <a href=""https://evservice.com.ua"" target=""_blank"">evservice.com.ua</a></p>
<p>Підмінний фонд. Можливий оптовий продаж.</p>
<p>Продукт на ринку України понад п&#39;ять років.</p>
<p>Працюємо 7 днів на тиждень. Приїжджайте на безкоштовний тест до нас до офісу!</p>",r,265,USD,шт.,,,,"https://images.prom.ua/2262102085_evropejskoe-zaryadnoe-ustrojstvo.jpg, https://images.prom.ua/2262102084_evropejskoe-zaryadnoe-ustrojstvo.jpg, https://images.prom.ua/4849269677_evropejskoe-zaryadnoe-ustrojstvo.jpg",+,52604021,Корневая группа,https://prom.ua/Zaryadnye-ustrojstva-stantsii,,,,,897459043,,5505,Зарядна станція,SPARKS CHARGERS,Польща,,,,https://sparkschargers.com.ua/p897459043-evropejskoe-zaryadnoe-ustrojstvo.html,,,-,,,,,,,,,,,,,Так,,Стан,,Новий,Колір,,Чорний,Тип роз'ємів,,Type 1,Сила струму,А,16,Потужність,кВт,"3,7",Кількість фаз,,1,Сумісність з моделлю,,Leaf|i3,Сумісність з маркою,,Nissan|BMW,Вхідна напруга,В,230,Довжина кабелю,см,600,Гарантійний термін,міс,12,Індикатор роботи,,Так,Вбудований запобіжник,,Так,Ступінь захисту IP,,54,Мінімальна температура експлуатації,град. C,-32,Максимальна температура експлуатації,град. C,45,Сумісність,,TESLA Model X 2015|Nissan Leaf 2010-|Chevrolet Volt 2011-|TESLA Model S 2012|BMW i3 2013-
,"Европейское зарядное устройство SPARKS для европейских электромобилей Tesla, BMW i3, Jaguar iPace, Leaf","Європейський зарядний пристрій SPARKS для європейських електромобілів Tesla, BMW i3, Jaguar iPace, Leaf","bmw, jaguar, Зарядная Станция, Зарядные устройства, Тесла, Тип 2, Type 2","bmw, jaguar, Зарядна Станція, Зарядні пристрої, Тесла, Тип 2, Type 2","<p>!!! Это не Китай, это сборка и внутрянка Европа. Просто возьмите такую же китайскую копию, которой и вводят в заблуждение клиентов, и приезжайте к нам в гости, поймете что такое европейский кабель, европейская фурнитура, розетки, внутренний контроллер и т.д. + Официальная гарантия с сервисным центром в Украине.</p>
<p>Зарядное устройство второго поколения SPARKS на 16 Ампер (3.68 кВт) для всех основных типов европейских электромобилей с разъемом Тип 2:<br/>
* Nissan Leaf / Ниссан Лиф<br/>
* BMW i3</p>
<p>* Fiat 500e / Фиат<br/>
* Smart Electric / Смарт</p>
<p>* Tesla 3, S, X / Тесла</p>
<p>* Jaguar iPace</p>
<p>* Audi e-tron</p>
<p>* Porsche Panamera / Taycan<br/>
и другие.<br/>
<br/>
Сделано в Европе&nbsp;<a href=""https://www.sparkschargers.pl"" target=""_blank"">www.sparkschargers.pl</a> - заводская сборка в разы качественнее местных гаражных разработок.&nbsp;Улучшена защита от воды, теперь электроника защищена по классу IP65 - можно использовать под дождем, ронять в лужу.<br/>
<br/>
Зарядка подходит как для европейских, японских и китайских авто с разъемом Тип 2 / Type 2.<br/>
<br/>
Зарядка без проблем работает в Европе - важно для тех, кто путешествует или сам везет авто из Европы.<br/>
<br/>
Ток переключается 8-12-16 Ампер сенсорной кнопкой (никаких странных/лишних кнопок и выступов на корпусе нет, торчащих светодиодов и незаводских отверстий нет), наличие защит, ВЛАГОЗАЩИЩЕННЫЙ!!! класс защиты IP65, резиновый польский RR-F кабель 6&nbsp;метров, возможность отключения проверки заземления/фазировки, RGB светодиодная индикация, фурнитура&nbsp;SCAME (Испания).<br/>
<br/>
Заряжает быстрее чем типовая фирменная зарядка, у которой только 10-12 Ампер максимум, а у SPARKS 16 Aмпер.<br/>
<br/>
В связи с частым воровством зарядок, они не очень популярны у воров, так как &quot;пистолет&quot; зафиксирован в авто и нет дорогостоящего блока, который часто срезают.<br/>
<br/>
Зарядка тестирует автомобиль и сигнализирует на наличие таймеров заряда в авто, показывает возможные ошибки в авто (стрельнули подушки, заряжали плохой зарядкой).<br/>
<br/>
Другая длина кабеля под заказ, срок такого заводского исполнения и доставка до 10 рабочих дней.<br/>
<br/>
Фирменная упаковка, инструкция на польском и украинском языке. Гарантия 1 год. Сервисная и клиентская поддержка.&nbsp;Сервісний партнер <a href=""https://evservice.com.ua"" target=""_blank"">evservice.com.ua</a><br/>
<br/>
Подменный фонд. Возможна оптовая продажа.<br/>
<br/>
Продукт на рынке Украины более пяти лет.<br/>
<br/>
Работаем 7 дней в неделю.&nbsp;Приезжайте на бесплатный тест к нам в офис!</p>","<p>!!! Це не Китай, це збирання та нутрощі Європа. Просто візьміть таку ж китайську копію, якою і вводять в оману клієнтів, і приїжджайте до нас у гості, зрозумієте, що таке європейський кабель, європейська фурнітура, розетки, внутрішній контролер і т.д. + Офіційна гарантія із сервісним центром в Україні.</p>
<p>Зарядний пристрій другого покоління SPARKS на 16 Ампер (3.68 кВт) для всіх основних типів європейських електромобілів із роз&#39;ємом Тип 2:<br/>
* Nissan Leaf / Ніссан Ліф<br/>
* BMW i3</p>
<p>* Fiat 500e/Фіат<br/>
* Smart Electric/Смарт</p>
<p>* Tesla 3, S, X / Тесла</p>
<p>* Jaguar iPace</p>
<p>* Audi e-tron</p>
<p>* Porsche Panamera / Taycan<br/>
та інші.<br/>
<br/>
Зроблено в Європі&nbsp;<a href=""https://www.sparkschargers.pl"" target=""_blank"">www.sparkschargers.pl</a> &mdash; заводське збирання, в рази якісніше за місцеві гаражні розробки.&nbsp;Поліпшений захист від потрапляння води, тепер електроніка захищена за класом IP65 &mdash; можна використовувати під дощем, рояти в калюжу.<br/>
<br/>
Зарядка підходить як для європейських, японських і китайських авто з роз&#39;ємом Тип 2/Type 2.<br/>
<br/>
Заряджання без проблем працює в Європі &mdash; важливо для тих, хто подорожує або сам везе авто з Європи.<br/>
<br/>
Струм перемикається 8-12-16 Ампер сенсорною кнопкою (никих дивних/зайвих кнопок і виступів на корпусі немає, світлодіодів, що стирчать, і незаводських отворів немає), наявність захистів, ВЛАГОЗИСТНИЙ!!! клас захисту IP65, гумовий польський RR-F кабель 6&nbsp;метрів, можливість вимкнення перевірки заземлення/фазування, RGB світлодіодна індикація, фурнітура&nbsp;SCAME (Іспанія).<br/>
<br/>
Заряджає швидше, ніж типова фірмова зарядка, у якої лише 10-12 Ампер максимум, а в SPARKS 16 Aмпер.<br/>
<br/>
У зв&#39;язку з частою крадіжкою зарядок, вони не дуже популярні серед злодіїв, оскільки &quot;ручка&quot; зафіксована в авто та немає дорогого блока, який часто зрізають.<br/>
<br/>
Заряджання тестує автомобіль і сигналізує на наявність таймерів заряду в авто, показує можливі помилки в авто (стріляли подушки, заряджали поганою зарядкою).<br/>
<br/>
Інша довжина кабелю під замовлення, термін такого заводського виконання і доставка до 10 робочих днів.<br/>
<br/>
Фірмове пакування, інструкція польською та українською мовою. Гарантія 1 рік. Сервісна та клієнтська підтримка.&nbsp;Сервісний партнер <a href=""https://evservice.com.ua"" target=""_blank"">evservice.com.ua</a><br/>
<br/>
Підмінний фонд. Можливий оптовий продаж.<br/>
<br/>
Продукт на ринку України більше п&#39;яти років.<br/>
<br/>
Працюємо 7 днів на тиждень.&nbsp;Приїжджайте на безплатний тест до нас в офіс!</p>",r,265,USD,шт.,,,,"https://images.prom.ua/3295544466_evropejskoe-zaryadnoe-ustrojstvo.jpg, https://images.prom.ua/3295544467_evropejskoe-zaryadnoe-ustrojstvo.jpg, https://images.prom.ua/3295544465_evropejskoe-zaryadnoe-ustrojstvo.jpg, https://images.prom.ua/4849269677_evropejskoe-zaryadnoe-ustrojstvo.jpg",+,52604021,Корневая группа,https://prom.ua/Zaryadnye-ustrojstva-stantsii,,,,,1467519874,,5505,Зарядна станція,SPARKS CHARGERS,Польща,,,,https://sparkschargers.com.ua/p1467519874-evropejskoe-zaryadnoe-ustrojstvo.html,,,-,,,,,,,,,,,,,Так,,Стан,,Новий,Колір,,Чорний,Тип роз'ємів,,Type 2,Сила струму,А,16,Потужність,кВт,"3,7",Кількість фаз,,1,Сумісність з моделлю,,i3,Сумісність з маркою,,Jaguar|TESLA|BMW,Вхідна напруга,В,230,Довжина кабелю,см,600,Гарантійний термін,міс,12,Індикатор роботи,,Так,Вбудований запобіжник,,Так,Ступінь захисту IP,,65,Мінімальна температура експлуатації,град. C,-32,Максимальна температура експлуатації,град. C,45,,,
,"Европейская фирменная зарядная станция для электромобиля 22кВт Type 2 для евро авто Tesla, BMW, Jaguar, Audi","Європейська фірмова зарядна станція для електромобіля 22кВт Type 2 для євро авто Tesla, BMW, Jaguar, Audi","Електромобіль, Зарядна станція для електромобіля, Tesla, Тесла, Type 2, Тип 2","Електромобіль, Зарядна станція для електромобіля, Tesla, Тесла, Type 2, Тип 2","<p>!!! Це не Китай, це збирання та нутрощі Європа. Просто візьміть таку ж китайську копію, якою і вводять в оману клієнтів, і приїжджайте до нас у гості, зрозумієте, що таке європейський кабель, європейська фурнітура, розетки, внутрішній контролер і т.д. + Офіційна гарантія із сервісним центром в Україні.</p>
<p>SPARKS CHARGERS 22kW - це фірмове Європейське трифазне зарядне (зарядка, зарядна станція) до 22 кВт для європейських електромобілів з роз&#39;ємом Тип 2 (Type 2) - Tesla, Audi, BMW, Porsche Taycan, Volkswagen та інших від www.sparkschargers.pl</p>
<p>Зарядний пристрій на 3*32 Ампери (22 кВт) або 1*32 Ампери (7 кВт) в залежності від однофазного/трифазного підключення. Заводське складання та упаковка.</p>
<p>Це зарядний пристрій можна використовувати як для стаціонарного кріплення (в комплекті) так і як набір мандрівника:</p>
<p>* Зарядний пристрій</p>
<p>* Перехідник на домашню вилку на 16 Ампер - 1 фаза 3 кВт</p>
<p>* Кронштейн для зарядки для кріплення на стіну</p>
<p>* Гачок</p>
<p>Зарядка без проблем працює в Європі - важливо для тих, хто мандрує чи сам везе авто з Європи.</p>
<p>Наявність захистів у т.ч. від перенапруги та ПЗВ, ВОЛОГОЗАХИЩЕНИЙ!!! клас захисту IP65, гумовий європейський кабель 6 метрів, заряджає без заземлення, RGB світлодіодна індикація, повноцінний екран для розуміння статусу заряду, управління кнопкою на корпусі, управління додатком зі смартфону,&nbsp;фурнітура SCAME (Іспанія). Зарядне можна заблокувати для захисту від викрадення, несанкціонованого заряджання.</p>
<p>Гарантія 1 рік. Сервісна та клієнтська підтримка.&nbsp;Сервісний партнер <a href=""https://evservice.com.ua"" target=""_blank"">evservice.com.ua</a></p>
<p>Підмінний фонд. Можливий оптовий продаж.</p>
<p>Займаємося підбором/консультацією та продажем зарядних станцій для електромобілів багато років. Працюємо 7 днів на тиждень. Щодня і давно використовуємо електромобілі, у тому числі як представництво виробника, процес заряду розуміємо не теоретично.</p>
<p>Приїжджайте на безкоштовний тест до нас до офісу!</p>","<p>!!! Це не Китай, це збирання та нутрощі Європа. Просто візьміть таку ж китайську копію, якою і вводять в оману клієнтів, і приїжджайте до нас у гості, зрозумієте, що таке європейський кабель, європейська фурнітура, розетки, внутрішній контролер і т.д. + Офіційна гарантія із сервісним центром в Україні.</p>
<p>SPARKS CHARGERS 22kW - це фірмове польске трифазне зарядне (зарядка, зарядна станція) до 22 кВт для європейських електромобілів з розємом Тип 2 (Type 2) - Tesla, Audi, BMW, Porsche Taycan, Volkswagen та інших від www.sparkschargers.pl</p>
<p>Зарядний пристрій на 3*32 Ампери (22 кВт) або 1*32 Ампери (7 кВт) в залежності від однофазного/трифазного підключення. Заводське складання та упаковка.</p>
<p>Це зарядний пристрій можна використовувати як для стаціонарного кріплення (в комплекті) так і як набір мандрівника:</p>
<p>* Зарядний пристрій</p>
<p>* Перехідник на домашню вилку на 16 Ампер - 1 фаза 3 кВт</p>
<p>* Кронштейн для зарядки для кріплення на стіну</p>
<p>* Гачок</p>
<p>Зарядка без проблем працює в Європі - важливо для тих, хто мандрує чи сам везе авто з Європи.</p>
<p>Наявність захистів у т.ч. від перенапруги та ПЗВ, ВОЛОГОЗАХИЩЕНИЙ!!! клас захисту IP65, гумовий європейський кабель 6 метрів, заряджає без заземлення, RGB світлодіодна індикація, повноцінний екран для розуміння статусу заряду, управління кнопкою на корпусі, управління додатком зі смартфону,&nbsp;фурнітура SCAME (Іспанія). Зарядне можна заблокувати для захисту від викрадення, несанкціонованного заряджання.</p>
<p>Гарантія 1 рік. Сервісна та клієнтська підтримка.&nbsp;Сервісний партнер <a href=""https://evservice.com.ua"" target=""_blank"">evservice.com.ua</a></p>
<p>Підмінний фонд. Можливий оптовий продаж.</p>
<p>Займаємося підбором/консультацією та продажем зарядних станцій для електромобілів багато років. Працюємо 7 днів на тиждень. Щодня і давно використовуємо електромобілі, у тому числі як представництво виробника, процес заряду розуміємо не теоретично.</p>
<p>Приїжджайте на безкоштовний тест до нас до офісу!</p>",r,550,USD,шт.,,,,"https://images.prom.ua/4708580607_evropejskaya-firmennaya-zaryadnaya.jpg, https://images.prom.ua/4708581091_evropejskaya-firmennaya-zaryadnaya.jpg, https://images.prom.ua/4708583550_evropejskaya-firmennaya-zaryadnaya.jpg, https://images.prom.ua/4708581541_evropejskaya-firmennaya-zaryadnaya.jpg, https://images.prom.ua/4708582067_evropejskaya-firmennaya-zaryadnaya.jpg, https://images.prom.ua/4708584056_evropejskaya-firmennaya-zaryadnaya.jpg, https://images.prom.ua/4708584341_evropejskaya-firmennaya-zaryadnaya.jpg, https://images.prom.ua/4708584993_evropejskaya-firmennaya-zaryadnaya.jpg, https://images.prom.ua/4708586308_evropejskaya-firmennaya-zaryadnaya.jpg",+,52604021,Корневая группа,https://prom.ua/Zaryadnye-ustrojstva-stantsii,,,,,1899560129,,5505,Зарядна станція,SPARKS CHARGERS,Польща,,,,https://sparkschargers.com.ua/p1899560129-evropejskaya-firmennaya-zaryadnaya.html,,,-,,,,,,,,,,,,,Так,,Стан,,Новий,Колір,,Чорний,Тип роз'ємів,,Type 2,Сила струму,А,32,Потужність,кВт,22,Кількість фаз,,3,Сумісність з моделлю,,Tacoma|Taycan|Ampera,Сумісність з маркою,,TESLA|BMW|Audi|Jaguar,Вхідна напруга,В,400,Довжина кабелю,см,600,Гарантійний термін,міс,12,Індикатор роботи,,Так,Вбудований запобіжник,,Так,,,,,,,,,,,,
